Tipo de Elección;Cargo;Fecha de Elección;Año de Elección;Inicio de Período;Fin de Período;Período;Id Región;Región;Circunscripción Senatorial;Distrito;Comuna;Circunscripción Electoral;Nombre Circunscripción Electoral;Sexo Mesa;Candidato (a);Nombres;Apellido Paterno;Apellido Materno;Sexo;Electo(a);Partido;Sigla Partido;Lista;Votos Totales
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;MUJER;SANTOS SANTOS OVIDIO;OVIDIO CLAUDIO;SANTOS;SANTOS;HOMBRE;;INDEPENDIENTE;IND;C;412
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;MUJER;VOTOS NULOS; ;  ; ;; ; ; ; ;40
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;MUJER;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;26
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;HOMBRE;BARRIOS AGUIRRE MARIO;MARIO;BARRIOS;AGUIRRE;HOMBRE;;INDEPENDIENTE;IND;A;6
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;HOMBRE;CRESPO CANCINO JUANA;JUANA ISABEL;CRESPO;CANCINO;MUJER;;INDEPENDIENTE;IND;CI;12
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;HOMBRE;HUMIRE ALEJANDRO FRANCISCO;FRANCISCO;HUMIRE;ALEJANDRO;HOMBRE;SI;UNION DEMOCRATA INDEPENDIENTE;UDI;B;166
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;HOMBRE;SANTOS SANTOS OVIDIO;OVIDIO CLAUDIO;SANTOS;SANTOS;HOMBRE;;INDEPENDIENTE;IND;C;224
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;HOMBRE;VOTOS NULOS; ;  ; ;; ; ; ; ;9
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;HOMBRE;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;2
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;MUJER;BARRIOS AGUIRRE MARIO;MARIO;BARRIOS;AGUIRRE;HOMBRE;;INDEPENDIENTE;IND;A;3
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;MUJER;CRESPO CANCINO JUANA;JUANA ISABEL;CRESPO;CANCINO;MUJER;;INDEPENDIENTE;IND;CI;4
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;MUJER;HUMIRE ALEJANDRO FRANCISCO;FRANCISCO;HUMIRE;ALEJANDRO;HOMBRE;SI;UNION DEMOCRATA INDEPENDIENTE;UDI;B;162
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;MUJER;SANTOS SANTOS OVIDIO;OVIDIO CLAUDIO;SANTOS;SANTOS;HOMBRE;;INDEPENDIENTE;IND;C;190
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;MUJER;VOTOS NULOS; ;  ; ;; ; ; ; ;7
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;5;BELEN;MUJER;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;5
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;2;ALTO HOSPICIO;589;ALTO HOSPICIO;HOMBRE;CUADRA SALDIAS BRUNILDA;BRUNILDA MARIA;CUADRA;SALDIAS;MUJER;;COMUNISTA DE CHILE;PCCH;A;97
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;2;ALTO HOSPICIO;589;ALTO HOSPICIO;HOMBRE;GALLEGUILLOS CASTILLO RAMON;RAMON ERNESTO;GALLEGUILLOS;CASTILLO;HOMBRE;SI;UNION DEMOCRATA INDEPENDIENTE;UDI;B;1627
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;2;ALTO HOSPICIO;589;ALTO HOSPICIO;HOMBRE;MACCHIAVELLO ZEREGA MARIA INES;MARIA INES;MACCHIAVELLO;ZEREGA;MUJER;;INDEPENDIENTE;IND;E;1456
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;2;ALTO HOSPICIO;589;ALTO HOSPICIO;HOMBRE;ORTEGA CASTILLO HERNAN;HERNAN FRANCISCO;ORTEGA;CASTILLO;HOMBRE;;SOCIALISTA DE CHILE;PS;C;1077
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;2;ALTO HOSPICIO;589;ALTO HOSPICIO;HOMBRE;SAMIT VICENCIO ANDRES;ANDRES JOSE;SAMIT;VICENCIO;HOMBRE;;INDEPENDIENTE;IND;CI;47
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;2;ALTO HOSPICIO;589;ALTO HOSPICIO;HOMBRE;ULLOA CONTRERAS RICARDO ALEX;RICARDO ALEX;ULLOA;CONTRERAS;HOMBRE;;INDEPENDIENTE;IND;CI;30
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;2;ALTO HOSPICIO;589;ALTO HOSPICIO;HOMBRE;VOTOS NULOS; ;  ; ;; ; ; ; ;169
